Date,Open,High,Low,Close,P/E,P/B,Div Yield %
12 Aug 2022,38942.45,39088.9,38739.95,39042.3,17.94,2.56,0.75
11 Aug 2022,38712.95,38932.1,38648.9,38879.85,17.87,2.57,0.75
10 Aug 2022,38298.85,38402.95,38155.3,38287.85,17.60,2.59,0.72
08 Aug 2022,37847.35,38302.35,37681.45,38237.4,17.58,2.59,0.72
05 Aug 2022,37868.25,38150.45,37779.9,37920.6,17.43,2.56,0.58
04 Aug 2022,38111.05,38231.85,37249.5,37755.55,17.36,2.55,0.58
03 Aug 2022,37954.55,38068.6,37692.95,37989.25,17.47,2.57,0.58
02 Aug 2022,37767.7,38179.85,37632.3,38024.0,17.48,2.57,0.58
01 Aug 2022,37594.15,37939.6,37407.2,37903.2,17.64,2.56,0.58
29 Jul 2022,37717.3,37754.65,37221.15,37491.4,17.39,2.54,0.59
28 Jul 2022,37102.45,37414.4,37028.5,37378.15,17.33,2.53,0.65
27 Jul 2022,36370.55,36808.3,36248.6,36783.75,17.06,2.49,0.66
26 Jul 2022,36688.55,36695.75,36334.1,36408.5,17.56,2.46,0.67
25 Jul 2022,36766.7,37011.2,36464.65,36726.4,17.87,2.5,0.66
22 Jul 2022,36322.9,36823.45,36286.35,36738.95,17.89,2.5,0.66
21 Jul 2022,36026.55,36331.7,35887.35,36201.0,17.77,2.46,0.67
20 Jul 2022,36061.3,36182.7,35876.55,35972.1,17.66,2.45,0.68
19 Jul 2022,35113.25,35761.65,35110.5,35720.35,17.71,2.43,0.68
18 Jul 2022,34841.85,35382.5,34804.4,35358.7,17.53,2.4,0.66
15 Jul 2022,34734.45,34899.95,34463.9,34682.65,17.27,2.36,0.67
14 Jul 2022,34817.95,35027.6,34558.45,34651.2,17.26,2.36,0.67
13 Jul 2022,35259.8,35308.15,34757.6,34827.8,17.35,2.37,0.67
12 Jul 2022,35298.7,35419.65,35047.5,35132.25,17.50,2.39,0.66
11 Jul 2022,35017.6,35543.1,35006.55,35469.65,17.67,2.41,0.65
08 Jul 2022,35258.9,35262.1,34977.75,35124.05,17.49,2.45,0.66
07 Jul 2022,34627.4,34965.75,34553.1,34920.3,17.39,2.57,0.66
06 Jul 2022,33929.4,34388.5,33876.15,34324.25,17.10,2.52,0.66
05 Jul 2022,34084.7,34361.05,33757.0,33815.9,16.84,2.48,0.67
04 Jul 2022,33558.85,33978.5,33515.6,33940.9,16.90,2.49,0.67
01 Jul 2022,33264.75,33666.5,33080.45,33539.45,16.70,2.46,0.67
30 Jun 2022,33180.7,33659.3,33179.6,33425.1,16.65,2.46,0.69
29 Jun 2022,33273.55,33422.8,33185.25,33269.9,16.68,2.48,0.70
28 Jun 2022,33578.2,33745.3,33503.3,33642.45,16.87,2.51,0.82
27 Jun 2022,34126.2,34147.5,33735.5,33811.25,16.95,2.52,0.82
24 Jun 2022,33434.8,33721.9,33390.85,33627.45,16.86,2.5,0.82
22 Jun 2022,33051.65,33106.95,32758.15,32845.3,16.47,2.45,0.84
21 Jun 2022,32978.05,33593.8,32797.55,33191.75,16.64,2.47,0.82
20 Jun 2022,32873.4,32926.1,32426.4,32684.8,16.39,2.43,0.83
17 Jun 2022,32393.45,32889.8,32290.55,32743.05,16.42,2.44,0.83
16 Jun 2022,33648.8,33756.5,32537.95,32617.1,16.35,2.43,0.78
