Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
02-01-2012,210.6265785,213.7089215,207.5909405,211.513916,282144,0.0,0,INDUSINDBK
03-01-2012,213.8957402,228.5602051,213.8957402,226.5987244,358725,0.0,0,INDUSINDBK
04-01-2012,226.0382988,229.2607427,221.6015966,227.112442,274822,0.0,0,INDUSINDBK
05-01-2012,226.9256266,232.389781,224.5905203,230.8486023,329318,0.0,0,INDUSINDBK
06-01-2012,229.7277512,231.2689299,223.3295686,225.0108337,482808,0.0,0,INDUSINDBK
09-01-2012,228.7470236,231.0354393,225.1509682,229.4475555,305405,0.0,0,INDUSINDBK
10-01-2012,232.4364803,245.6064851,230.9887115,243.6916809,2507816,0.0,0,INDUSINDBK
11-01-2012,245.6531782,255.8342358,245.6531782,254.5732727,1268889,0.0,0,INDUSINDBK
12-01-2012,252.4249476,269.0041994,251.0705747,266.5756836,1605223,0.0,0,INDUSINDBK
13-01-2012,270.6388152,271.1525271,258.7297732,261.7654114,1337767,0.0,0,INDUSINDBK
16-01-2012,259.6638263,259.710517,254.3397724,256.9551086,243845,0.0,0,INDUSINDBK
17-01-2012,258.6830895,261.5319078,258.0292483,259.7572327,320747,0.0,0,INDUSINDBK
18-01-2012,259.9440559,259.9440559,252.6585347,254.7134399,204907,0.0,0,INDUSINDBK
19-01-2012,256.488051,259.5703795,255.4139079,258.2627258,205685,0.0,0,INDUSINDBK
20-01-2012,257.7957447,266.6224583,257.7957447,262.0923462,612320,0.0,0,INDUSINDBK
23-01-2012,262.0923148,267.1361383,259.8973094,262.7928467,207522,0.0,0,INDUSINDBK
24-01-2012,262.5126751,269.3778942,258.7298137,265.6417236,493424,0.0,0,INDUSINDBK
25-01-2012,268.0702017,278.6248707,265.7350954,276.2897644,971205,0.0,0,INDUSINDBK
27-01-2012,279.1853255,281.1001299,267.1828725,268.8641663,435747,0.0,0,INDUSINDBK
30-01-2012,260.7846302,268.1168397,257.935784,259.1967468,259736,0.0,0,INDUSINDBK
31-01-2012,261.2984509,273.5811069,259.8506961,272.6470642,435808,0.0,0,INDUSINDBK
01-02-2012,269.1910344,275.4958207,266.2020873,274.0947571,245272,0.0,0,INDUSINDBK
02-02-2012,273.6744673,280.7731963,269.0042545,279.4188232,570251,0.0,0,INDUSINDBK
03-02-2012,280.212766,282.5011817,272.9739362,278.7182922,814468,0.0,0,INDUSINDBK
06-02-2012,282.8747791,289.0861561,278.0644659,280.5396729,748454,0.0,0,INDUSINDBK
07-02-2012,284.8829458,286.2840094,277.2237863,282.9681702,380449,0.0,0,INDUSINDBK
08-02-2012,283.9489523,286.9845907,279.32543,286.3307495,489657,0.0,0,INDUSINDBK
09-02-2012,288.9927508,290.4872245,282.5478631,288.5724487,456288,0.0,0,INDUSINDBK
10-02-2012,288.572479,299.4540698,286.7043937,298.0062866,828270,0.0,0,INDUSINDBK
13-02-2012,299.640821,308.0472034,293.0558328,305.7120972,418771,0.0,0,INDUSINDBK
14-02-2012,308.2340584,310.1021436,299.3606537,300.7150269,657387,0.0,0,INDUSINDBK
15-02-2012,303.3769901,311.03615,302.2561562,310.0086975,617138,0.0,0,INDUSINDBK
16-02-2012,306.3659868,307.019828,283.7621434,295.250885,1011651,0.0,0,INDUSINDBK
17-02-2012,307.2533003,307.2533003,290.7207362,292.21521,936529,0.0,0,INDUSINDBK
21-02-2012,292.1684849,300.7616874,292.1684849,294.2700806,723268,0.0,0,INDUSINDBK
22-02-2012,288.6658199,298.0996547,277.45731,280.3995667,544085,0.0,0,INDUSINDBK
23-02-2012,282.1275297,295.6711461,276.0095626,292.8690186,977697,0.0,0,INDUSINDBK
24-02-2012,295.9981123,300.6683256,275.6826845,281.6138611,1963823,0.0,0,INDUSINDBK
27-02-2012,283.0149057,283.4352363,269.5179789,273.2074585,665320,0.0,0,INDUSINDBK
28-02-2012,273.8613262,285.6302412,273.8613262,283.9956665,1159655,0.0,0,INDUSINDBK
29-02-2012,286.2840405,294.8305241,275.3090406,291.6547852,4324321,0.0,0,INDUSINDBK
01-03-2012,294.1300248,294.176744,284.9764182,289.5065308,765548,0.0,0,INDUSINDBK
02-03-2012,291.7948598,299.8276307,286.284015,295.3442383,835831,0.0,0,INDUSINDBK
05-03-2012,292.8223023,292.8223023,282.1742243,286.4708252,284167,0.0,0,INDUSINDBK
06-03-2012,282.1274794,298.6133497,280.6330345,288.7591858,777950,0.0,0,INDUSINDBK
07-03-2012,282.3610341,291.3278477,282.3610341,289.833374,885488,0.0,0,INDUSINDBK
09-03-2012,294.1766907,297.2123288,292.5888071,295.4843445,1143226,0.0,0,INDUSINDBK
12-03-2012,297.1189703,303.2836574,293.2893898,295.250885,700509,0.0,0,INDUSINDBK
13-03-2012,298.8001812,298.8935911,293.336027,293.9898682,632450,0.0,0,INDUSINDBK
14-03-2012,297.9594676,303.3769011,294.0364789,298.5665894,1260833,0.0,0,INDUSINDBK
15-03-2012,298.8936616,299.8277043,285.9104739,289.1329041,1213545,0.0,0,INDUSINDBK
16-03-2012,290.7674185,293.1025248,269.0042397,286.2373352,1397792,0.0,0,INDUSINDBK
19-03-2012,283.9489058,286.4708319,277.5040186,280.8665771,200064,0.0,0,INDUSINDBK
20-03-2012,285.5835354,296.278335,283.0149182,293.0091858,706460,0.0,0,INDUSINDBK
21-03-2012,290.4405387,298.8002023,288.8059643,298.0996704,363528,0.0,0,INDUSINDBK
22-03-2012,298.8935976,303.3769902,287.965289,289.833374,639167,0.0,0,INDUSINDBK
23-03-2012,291.3278099,295.20408,286.3306775,291.0942993,495653,0.0,0,INDUSINDBK
26-03-2012,288.5725184,293.9432642,284.0424054,286.6110229,485453,0.0,0,INDUSINDBK
27-03-2012,294.2233955,294.2233955,280.7264696,287.8719177,927238,0.0,0,INDUSINDBK
28-03-2012,290.4404943,290.4404943,275.6359166,278.2979431,937864,0.0,0,INDUSINDBK
29-03-2012,275.3557092,289.3663463,273.4876243,286.7977295,815102,0.0,0,INDUSINDBK
30-03-2012,287.6383595,302.162707,287.6383595,300.4347229,574358,0.0,0,INDUSINDBK
02-04-2012,300.9484619,306.1323856,296.6051421,304.6846313,377543,0.0,0,INDUSINDBK
03-04-2012,306.4126076,310.1020866,304.1242207,306.6461182,416286,0.0,0,INDUSINDBK
04-04-2012,304.7314094,313.1844839,302.9100149,311.8301392,496284,0.0,0,INDUSINDBK
09-04-2012,307.6736145,312.8575678,306.3659606,307.6736145,200964,0.0,0,INDUSINDBK
10-04-2012,306.7863202,313.7449209,303.8907823,312.7174683,359575,0.0,0,INDUSINDBK
11-04-2012,310.0553759,314.6788685,308.2339819,309.0279236,354212,0.0,0,INDUSINDBK
12-04-2012,312.4372189,317.5744527,310.1021127,316.5937195,456068,0.0,0,INDUSINDBK
13-04-2012,317.527736,320.8435753,307.4400607,308.7944336,393333,0.0,0,INDUSINDBK
16-04-2012,311.0828745,320.3766097,309.2615085,319.4892578,472977,0.0,0,INDUSINDBK
17-04-2012,309.4949719,323.0852782,309.4949719,320.4699707,644617,0.0,0,INDUSINDBK
18-04-2012,324.112738,324.112738,318.8820944,322.8050842,480264,0.0,0,INDUSINDBK
19-04-2012,324.5798075,328.6895893,319.7227745,322.5249023,1898210,0.0,0,INDUSINDBK
20-04-2012,320.0964041,326.8682128,318.9755416,320.796936,933390,0.0,0,INDUSINDBK
23-04-2012,322.2446257,324.5797317,310.2888944,312.11026,934279,0.0,0,INDUSINDBK
24-04-2012,315.4728515,318.274979,310.6158192,312.8575439,272412,0.0,0,INDUSINDBK
25-04-2012,308.2339819,309.0279236,308.2339819,309.0279236,677803,0.0,0,INDUSINDBK
26-04-2012,311.8300996,316.4069023,308.7477422,310.8960571,472226,0.0,0,INDUSINDBK
27-04-2012,311.0828315,313.7915774,298.0529562,299.6875305,502457,0.0,0,INDUSINDBK
30-04-2012,301.2753583,313.7448298,300.8083371,309.8218689,353779,0.0,0,INDUSINDBK
02-05-2012,310.9427232,311.736665,301.5556081,303.1434631,303674,0.0,0,INDUSINDBK
03-05-2012,300.24796,304.6846617,295.2041079,301.0885925,341689,0.0,0,INDUSINDBK
04-05-2012,294.4102001,305.4318899,294.4102001,301.2286987,461828,0.0,0,INDUSINDBK
07-05-2012,297.5859156,307.7202814,292.0283519,305.0115356,423106,0.0,0,INDUSINDBK
08-05-2012,308.0472193,308.0472193,294.2234011,295.9513855,492708,0.0,0,INDUSINDBK
09-05-2012,296.2316429,298.1931383,285.3967416,286.4241943,296778,0.0,0,INDUSINDBK
10-05-2012,288.4323075,299.7342272,283.855505,294.7838135,974985,0.0,0,INDUSINDBK
11-05-2012,293.9898695,297.8194494,284.8829554,291.8415833,497595,0.0,0,INDUSINDBK
14-05-2012,291.841632,294.3168393,288.6191735,290.1136475,477290,0.0,0,INDUSINDBK
15-05-2012,286.657568,287.5916103,283.5285207,285.3499146,766266,0.0,0,INDUSINDBK
16-05-2012,282.6879911,282.6879911,275.5425709,280.5863953,672229,0.0,0,INDUSINDBK
17-05-2012,280.4462975,284.9764099,280.4462975,284.9764099,310426,0.0,0,INDUSINDBK
18-05-2012,282.4544641,288.992762,276.4765974,285.2565918,643686,0.0,0,INDUSINDBK
21-05-2012,284.9763402,291.7948383,282.174213,287.6383667,404110,0.0,0,INDUSINDBK
22-05-2012,290.5339632,290.5339632,283.2951325,285.3967285,301330,0.0,0,INDUSINDBK
23-05-2012,285.7236047,285.7236047,278.4847751,282.8747864,332940,0.0,0,INDUSINDBK
24-05-2012,284.5093047,286.1438788,279.2319711,284.4625854,334986,0.0,0,INDUSINDBK
25-05-2012,284.6494392,288.6191197,282.3143331,288.1054077,869923,0.0,0,INDUSINDBK
28-05-2012,289.5531564,290.9542201,287.2180503,290.1602783,388557,0.0,0,INDUSINDBK
29-05-2012,290.9542396,292.2152027,288.1521121,289.8800964,510193,0.0,0,INDUSINDBK
30-05-2012,287.685087,287.685087,279.5122152,281.1467896,349017,0.0,0,INDUSINDBK
31-05-2012,287.4515958,287.4515958,276.2897759,278.7182922,414021,0.0,0,INDUSINDBK
01-06-2012,280.0726542,283.6220044,276.0095636,278.4380798,339581,0.0,0,INDUSINDBK
04-06-2012,271.1992401,277.0836963,268.7240332,276.0562439,536738,0.0,0,INDUSINDBK
05-06-2012,277.4572678,285.8169583,277.4572678,284.4625854,616283,0.0,0,INDUSINDBK
06-06-2012,286.5175731,290.5806642,285.3500199,289.2730103,214062,0.0,0,INDUSINDBK
07-06-2012,294.1299715,296.2782863,288.7125365,295.4843445,415920,0.0,0,INDUSINDBK
08-06-2012,295.4376393,308.0939326,290.4405346,305.9456177,545871,0.0,0,INDUSINDBK
11-06-2012,308.2340233,312.2503946,302.1160564,305.7120972,505707,0.0,0,INDUSINDBK
12-06-2012,305.4318859,310.7092202,302.209428,305.4785767,464146,0.0,0,INDUSINDBK
13-06-2012,306.4126471,307.0664883,297.6793721,299.6408386,299828,0.0,0,INDUSINDBK
14-06-2012,297.9595342,299.3139071,292.0750783,293.6629333,375667,0.0,0,INDUSINDBK
15-06-2012,296.7452789,298.2397239,294.3634537,297.6793213,764080,0.0,0,INDUSINDBK
18-06-2012,299.7342223,302.1627385,287.4048789,290.3471069,670726,0.0,0,INDUSINDBK
19-06-2012,289.5064843,297.025515,285.2098831,294.1766968,500733,0.0,0,INDUSINDBK
20-06-2012,296.0447725,299.173792,294.2233783,295.4376221,817149,0.0,0,INDUSINDBK
21-06-2012,294.2234264,305.2451179,291.4212985,303.7973633,339182,0.0,0,INDUSINDBK
22-06-2012,298.940271,304.4978349,296.6051649,303.0967712,202271,0.0,0,INDUSINDBK
25-06-2012,304.4978154,311.1762127,299.4539922,301.1819763,386019,0.0,0,INDUSINDBK
26-06-2012,301.3221252,315.7063744,300.1078528,305.2450867,272101,0.0,0,INDUSINDBK
27-06-2012,307.1599222,309.2147988,305.6654483,308.1406555,292635,0.0,0,INDUSINDBK
28-06-2012,310.9427476,310.9427476,300.3413594,306.5527649,419934,0.0,0,INDUSINDBK
29-06-2012,311.0361449,325.9808246,308.1406075,317.8079529,548659,0.0,0,INDUSINDBK
02-07-2012,319.5826505,319.5826505,313.9317045,316.1734009,149790,0.0,0,INDUSINDBK
03-07-2012,319.4424618,322.197898,318.0413984,320.563324,276895,0.0,0,INDUSINDBK
04-07-2012,322.1045622,324.0660572,319.4425354,323.0386047,241018,0.0,0,INDUSINDBK
05-07-2012,325.2476374,327.8796877,319.607505,326.7516785,332192,2.2,0,INDUSINDBK
06-07-2012,322.4276005,327.5507327,321.1585648,324.1196289,158093,0.0,0,INDUSINDBK
09-07-2012,321.48757,325.7646592,317.868479,322.6625977,286449,0.0,0,INDUSINDBK
10-07-2012,325.247655,328.0677214,320.0305437,322.9916077,1775817,0.0,0,INDUSINDBK
11-07-2012,322.4275576,325.2476237,262.2661474,321.0645142,349699,0.0,0,INDUSINDBK
12-07-2012,319.325535,320.9235554,313.1213831,319.7015381,408752,0.0,0,INDUSINDBK
13-07-2012,319.56056,322.2396003,315.5184473,316.8344727,182822,0.0,0,INDUSINDBK
16-07-2012,317.727477,319.0435023,312.5573554,316.3174438,287183,0.0,0,INDUSINDBK
17-07-2012,316.88146,318.3384828,313.9673857,316.129425,305018,0.0,0,INDUSINDBK
18-07-2012,315.9884668,316.4114883,310.2073358,315.4714661,220578,0.0,0,INDUSINDBK
19-07-2012,317.7744446,318.4794611,314.0613747,317.7744446,392757,0.0,0,INDUSINDBK
20-07-2012,318.5265036,318.6675012,311.1943138,313.8733826,267339,0.0,0,INDUSINDBK
23-07-2012,310.2542813,314.9074021,307.1052302,308.3742371,272484,0.0,0,INDUSINDBK
24-07-2012,309.9253112,312.4633538,308.3742517,310.912323,101527,0.0,0,INDUSINDBK
25-07-2012,310.6303215,313.2153823,309.2672779,311.0533142,318783,0.0,0,INDUSINDBK
26-07-2012,311.194295,312.7453543,300.8070626,303.5801392,773782,0.0,0,INDUSINDBK
27-07-2012,307.1052251,315.847419,304.8491492,307.8102417,499648,0.0,0,INDUSINDBK
30-07-2012,309.9253608,314.8134595,309.8783425,314.0144348,282004,0.0,0,INDUSINDBK
